Water Body,Recommended Parameters for Each Water Body,,,,,
Chilcotin River,pH,Temp,DO,TP,NH3,E. coli
,As,Cd,Cu,Pb,Ag,Zn
Columbia R at Birchbank,pH,Temp,NH3,TP,TDN,Fecal coliforms
,As,Cd,Cu,Pb,Tl,Zn
Columbia R at Nicholson,pH,Temp,TP,NH3,NO2,E. Coli
,Turbidity,Ba,Cd,Pb,Zn,
Dean River,pH,Temp,TP,NH3,DO in future,E. Coli
,As,Cd,Cu,Pb,Mn,Zn
Elk R at Sparwood,pH,Temp,TP,NO2/NO3,NH3,E. coli
,Cd,Cu,Se,Zn,SO4,
Horsefly River,pH,Temp,TP,NO2+NO3,NH3,E. coli
,DO,As,Cu,Pb,Mn,Zn
Iskut River,pH,Temp,TP,NO2+NO3,TDN,Mn
,As,Cd,Cu,Pb,Ni,Ag
Kettle River at Midway,pH,Temp,TDN,TDP,NO2/NO3,Fecal coliforms
,Cd,Pb,Ag,Zn,CN,F
Kootenay R at Fenwick,pH,Temp,TDN,TP,NO2/NO3,Fecal coliforms
,Cd,Cr,Cu,Pb,Zn,
Nicola R near Thompson R,pH,Temp,TDP,NO2+NO3,NH3,E. coli
,As,Cd,Cu,Pb,Mo,Zn
North Alouette River,pH,Temp,TP,NO2,DO,E. coli
,Cd,Cu,Pb,Zn,TDN,
Peace R above Alces R,pH,Temp,TDP,NO2,TDN,E. coli
,Cu,Pb,Ni,Zn,DO,
Shuswap R U/S Mara L,pH,Temp,TP,NO2/NO3,NH3,E. coli
,DO,As,Cu,Pb,Mn,Zn
Similkameen R at Princeton,pH,Temp,TDP,NH3,DO,Fecal coliforms
,Al (d),Cu (d),Pb,Zn,SO4,Colour
Tsolum River,pH,Temp,TDP,NH3,DO,Fecal coliforms
,Al (d),Cu (d),Pb,Zn,SO4,Colour
